timestamp (ms), x (G), y (G), z (G)
224,5.28,2.15,2.93
245,2.54,0.20,2.93
266,1.37,1.76,1.76
287,4.89,-0.20,0.98
308,5.67,0.20,4.50
329,0.98,4.11,2.54
350,5.28,4.50,1.37
371,4.11,0.59,3.71
392,4.89,-0.20,3.71
413,2.93,2.93,4.11
434,1.76,3.32,2.54
455,4.50,2.15,3.32
476,3.32,4.11,2.93
497,4.11,4.89,4.50
518,2.54,2.54,1.76
539,4.50,0.59,2.54
560,4.89,3.32,5.28
581,1.37,4.50,4.11
602,5.28,0.59,2.15
623,4.89,4.50,1.37
644,2.93,2.15,4.89
665,1.37,0.98,2.54
686,4.11,4.11,2.54
707,5.67,0.20,4.89
731,5.28,0.59,3.71
752,2.93,2.54,2.15
773,1.76,3.71,4.89
794,4.89,2.93,2.93
815,0.59,2.15,3.71
836,2.93,0.98,3.32
857,3.32,4.11,4.89
878,2.15,1.37,2.15
899,3.32,4.11,4.11
920,2.54,2.93,2.15
941,5.28,4.50,3.32
962,2.15,4.11,3.71
983,2.15,4.11,3.32
1004,4.89,4.50,4.50
1025,2.93,0.98,2.93
1046,4.50,0.20,2.54
1067,1.37,3.32,2.93
1088,4.11,2.54,3.32
1109,4.11,0.59,2.93
1130,1.76,2.54,2.54
1151,4.11,4.11,2.93
1172,1.37,1.76,3.32
1193,2.54,0.98,4.11
1214,1.76,2.93,4.11
1235,5.28,0.98,1.76
1259,1.76,3.32,4.11
1280,3.32,1.76,4.50
1301,2.93,0.59,4.50
1322,3.71,0.98,2.54
1343,1.76,4.50,4.11
1364,1.76,0.98,1.76
1385,2.54,3.32,1.76
1406,4.89,0.59,1.37
1427,1.37,3.71,3.71
1448,4.89,0.59,3.71
1469,4.11,1.76,4.11
1490,2.54,2.15,1.76
1511,4.89,3.71,4.89
1532,2.54,3.32,2.15
1553,2.93,4.11,4.89
1574,4.11,4.50,4.50
1595,3.32,3.71,3.32
1616,2.54,0.98,3.32
1637,4.50,1.76,4.50
1658,4.50,4.50,3.71
1679,4.89,1.37,4.11
1700,4.89,0.59,3.32
1721,2.15,4.11,2.93
1742,2.54,1.37,2.93
1763,1.76,3.32,4.89
1787,4.50,2.54,4.50
1808,3.71,3.71,4.11
1829,4.11,2.54,1.76
1850,2.15,2.54,1.76
1871,1.76,3.71,4.11
1892,4.50,0.98,1.76
1913,5.28,2.93,3.32
1934,2.15,3.32,4.50
1955,2.54,2.54,2.15
1976,1.76,4.11,3.32
1997,2.93,0.98,1.76
2018,3.32,2.93,3.32
2039,2.15,3.71,4.11
2060,3.71,2.15,4.11
2081,1.76,1.37,4.11
2102,4.50,0.98,4.11
2123,2.54,3.71,3.32
2144,2.93,0.98,3.32
2165,4.89,4.11,2.15
2186,3.71,0.98,4.50
2207,2.54,1.37,2.15
2228,4.50,2.93,1.76
2249,5.28,1.76,4.50
2270,3.71,0.98,2.54
2294,3.71,1.76,4.11
2315,2.93,3.71,4.50
2336,4.89,2.54,4.50
2357,4.50,1.76,2.15
2378,2.15,3.71,2.54
2399,2.93,2.54,2.15
2420,1.76,3.32,2.54
2441,2.93,3.71,2.93
2462,4.89,1.76,2.15
2483,2.93,2.93,4.11
2504,2.15,3.32,2.93
2525,1.76,2.93,3.32
2546,2.54,3.71,4.11
2567,2.15,3.32,3.32
2588,4.50,0.59,3.32
2609,2.54,0.98,2.15
2630,2.15,3.71,4.11
2651,3.32,4.11,4.50
2672,5.28,0.59,4.11
2693,3.71,3.71,2.54
2714,3.71,0.59,2.93
2735,2.93,3.32,3.71
2756,3.71,3.32,2.54
2777,3.32,4.11,3.71
2801,4.11,2.15,4.50
2822,4.89,1.76,4.89
2843,4.11,1.37,2.54
2864,4.50,3.71,4.50
2885,2.15,2.93,4.11
2906,3.71,1.76,2.54
2927,1.76,3.71,3.71
2948,2.54,2.15,4.50
2969,4.11,0.98,2.54
2990,2.15,2.93,4.50
3011,2.15,3.71,2.93
3032,2.15,2.15,2.54
3053,4.50,0.98,4.89
3074,4.50,3.71,4.50
3095,2.93,2.54,2.15
3116,2.15,1.76,2.15
3137,1.76,4.11,2.93
3158,2.15,3.32,1.76
3179,3.71,3.32,4.50
3200,3.32,3.71,2.93
3221,2.15,3.32,4.11
3242,2.15,2.93,2.54
3263,4.50,0.98,4.11
3284,3.32,1.37,2.54
3305,4.89,3.71,2.15
3329,4.89,2.15,2.54
3350,1.76,1.37,3.71
3371,4.89,1.37,2.93
3392,4.89,1.37,4.11
3413,4.89,0.98,2.54
3434,4.50,2.54,3.71
3455,2.54,3.71,3.71
3476,2.93,4.11,2.93
3497,3.32,0.98,2.15
3518,2.54,0.98,3.32
3539,4.89,0.98,2.54
